category,country,free/paid/grossing,rank,bundle id,icon,app name,publisher
Beauty,Austria,free,22,/app/google-play/com.hair_flutter/statistics/,"https://play-lh.googleusercontent.com/OUP8hdw4Y2iTj9HK-VSSeyWck55s3J77rrbcnyc41WLny4djRTbv8wrpIw4RHKz-9w=s180",Hairstyle Try On: Bangs & Wigs,JYCoder
Beauty,Austria,free,23,/app/google-play/com.planitypublic/statistics/,"https://play-lh.googleusercontent.com/p7ysJnAZPHQ7t43sta9RrEwFM1-EbulBVW7Ey9ofNgTy0w6KjSu7q3POV64XbVNx-ZY=s180",Planity,Planity
Beauty,Austria,free,24,/app/google-play/haircolour.hairstyle.photoeditor.haircolorchanger/statistics/,"https://play-lh.googleusercontent.com/r-_DylDi_vyfBIwkWnGnld27OT-5iSCv2AP3cpSjVCvGHJ0bKIjnVe7QLL-K91LCNKk=s180",Hair Color Changer: Change you,Face & Body Tune Photo Editor SRL
Beauty,Austria,free,25,/app/google-play/com.astor.loyalty.mobile.mcosmetic/statistics/,"https://play-lh.googleusercontent.com/4jr1k9_VmnFnUFTTO8PSMRZsRgSZdBvYrjcqDFg_rYkwcqTz35cycFb0524Ace4XHHU=s180",M Cosmetic,ООО «Полет»
Beauty,Austria,free,26,/app/google-play/com.netigen.bestmirror/statistics/,"https://play-lh.googleusercontent.com/5WvvRaLp7scv4OcQKDt6CxsJArcSLnODpTVwGDxzfkEjkQVXKnzH_yqjSZY82FSeVI8=s180",Perfect Mirror,Netigen Tools
Beauty,Austria,free,27,/app/google-play/com.getskinbliss.skinbliss/statistics/,"https://play-lh.googleusercontent.com/emJ3tjrY_hFiaNKv9OVsmz7Tmq32dvVecITauvVYRXzvIA-zGJxKRvoRUslTsNm0ugP4=s180",Skin Bliss: Skincare Routines,skinbliss
Beauty,Austria,free,28,/app/google-play/com.wahanda.marketplace/statistics/,"https://play-lh.googleusercontent.com/ua52wgxp-UzqgBDQ2subxjAFce8McxzorFK3X4G4inveJIVwYPnfw0JdcVnBSTpEMGk=s180",Treatwell: Hair & Beauty,Treatwell Limited
Beauty,Austria,free,29,/app/google-play/com.glinttec.beautyscan.beautyscore.photoBeautyScan/statistics/,"https://play-lh.googleusercontent.com/xmPfig1ozPjT7_ZaGbMWZHgCf2b9EJqduw0eps7H5k9f7ell_49d2zS_9z7JPONPQBE=s180",Face Shape - Pretty Scale,GlintTec Apps
Beauty,Austria,free,30,/app/google-play/br.com.starapp.appbarbercli/statistics/,"https://play-lh.googleusercontent.com/rRXqYiauS0SbJnigZqsf7sVt7TA7frHkz9HG5_2H2SSkICvbAfqU-NT1Ozf3FJdumQ=s180",AppBarber: Cliente,StarApp Sistemas
Beauty,Austria,free,31,/app/google-play/com.lomographic.vintage.camera.filters/statistics/,"https://play-lh.googleusercontent.com/vKKFQy2NEPWAV0c1x2hir0sfFS1P-Oi89JwBPL_lTBHfrSy-aImxa7Qqa0nSoIWTmcqQ=s180",Camera Filters and Effects,CA Publishing
Beauty,Austria,free,32,/app/google-play/br.art.code.meucronogramacapilar/statistics/,"https://play-lh.googleusercontent.com/LK5j-k9FxXPPG2DDg-TZfya0tnMdUpPTQ76cliGxa2aPvF655BixjPrZv7qnWGCqOnHo=s180",My Capillary Schedule,Code Art BR
Beauty,Austria,free,33,/app/google-play/br.com.espacolaser.Agendamento/statistics/,"https://play-lh.googleusercontent.com/rqejRZ3an8hgrDWxHdP2Rp-p8M6D_REaYazES-biuQlqoh3rlGkL5dcWJrAAIZpldA=s180",Espaçolaser,Espaçolaser
Beauty,Austria,free,34,/app/google-play/air.com.winkypinky.dressuproyalprincessdoll/statistics/,"https://play-lh.googleusercontent.com/oqX3okgAYQWZOqfJi1xY_EOfV2XPsRyx7S8BjIznE_CZ59s0yJ96ZXpCZcL7-wdRugk=s180",Dress Up Royal Princess Doll,winkypinky
Beauty,Austria,free,35,/app/google-play/com.filter.pictures/statistics/,"https://play-lh.googleusercontent.com/3P2hSQixojZrx4gq7d5Y4Up23oEEM0yU379WfGBFQqHggFnBw0SeP_NBlUQO_4sNc7DN=s180",Picture Editor,HMs
